MMSI,Longitude,Latitude,Day
412763230,118.155,38.913000000000004,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
412763230,117.95,38.95,8
