MMSI,Longitude,Latitude,Speed,Heading,Day,time_to_seconds,delta_time,delta_speed,delta_heading
205517000,117.758,38.973,0.1,292,6,516,0,0.0,292
205517000,117.758,38.973,0.1,292,6,546,750,0.0,292
205517000,117.758,38.973,0.1,292,6,576,810,0.0,292
205517000,117.758,38.973,0.1,292,6,606,870,0.0,292
205517000,117.758,38.973,0.1,292,6,636,930,0.0,292
205517000,117.758,38.973,0.1,292,6,666,990,0.0,292
205517000,117.758,38.973,0.1,292,6,696,1050,0.0,292
205517000,117.758,38.973,0.1,292,6,726,1110,0.0,292
205517000,117.758,38.973,0.1,292,6,756,1170,0.0,292
205517000,117.758,38.973,0.1,292,6,786,1230,0.0,292
205517000,117.758,38.973,0.1,292,6,816,1290,0.0,292
205517000,117.758,38.973,0.1,292,6,846,1350,0.0,292
205517000,117.758,38.973,0.1,292,6,876,1410,0.0,292
205517000,117.758,38.973,0.1,292,6,906,1470,0.0,292
205517000,117.758,38.973,0.1,292,6,936,1530,0.0,292
205517000,117.758,38.973,0.1,292,6,966,1590,0.0,292
205517000,117.758,38.973,0.1,292,6,996,1650,0.0,292
205517000,117.758,38.973,0.1,292,6,1026,1710,0.0,292
205517000,117.758,38.973,0.1,292,6,1056,1770,0.0,292
205517000,117.758,38.973,0.1,292,6,1086,1830,0.0,292
205517000,117.758,38.973,0.1,292,6,1116,1890,0.0,292
205517000,117.758,38.973,0.1,292,6,1146,1950,0.0,292
205517000,117.758,38.973,0.1,292,6,1176,2010,0.0,292
205517000,117.758,38.973,0.1,292,6,1206,2070,0.0,292
205517000,117.758,38.973,0.1,292,6,1236,2130,0.0,292
205517000,117.758,38.973,0.1,292,6,1266,2190,0.0,292
205517000,117.758,38.973,0.1,292,6,1296,2250,0.0,292
205517000,117.758,38.973,0.1,292,6,1326,2310,0.0,292
205517000,117.758,38.973,0.1,292,6,1356,2370,0.0,292
205517000,117.758,38.973,0.1,292,6,1386,2430,0.0,292
205517000,117.758,38.973,0.1,292,6,1416,2490,0.0,292
205517000,117.758,38.973,0.1,292,6,1446,2550,0.0,292
205517000,117.758,38.973,0.1,292,6,1476,2610,0.0,292
205517000,117.758,38.973,0.1,292,6,1506,2670,0.0,292
205517000,117.758,38.973,0.1,292,6,1536,2730,0.0,292
205517000,117.758,38.973,0.1,292,6,1566,2790,0.0,292
205517000,117.758,38.973,0.1,292,6,1596,2850,0.0,292
205517000,117.758,38.973,0.1,292,6,1626,2910,0.0,292
205517000,117.758,38.973,0.1,292,6,1656,2970,0.0,292
205517000,117.758,38.973,0.1,292,6,1686,3030,0.0,292
205517000,117.758,38.973,0.1,292,6,1716,3090,0.0,292
205517000,117.758,38.973,0.1,292,6,1746,3150,0.0,292
205517000,117.758,38.973,0.1,292,6,1776,3210,0.0,292
205517000,117.758,38.973,0.1,292,6,1806,3270,0.0,292
205517000,117.758,38.973,0.1,292,6,1836,3330,0.0,292
205517000,117.758,38.973,0.1,292,6,1866,3390,0.0,292
205517000,117.758,38.973,0.1,292,6,1896,3450,0.0,292
205517000,117.758,38.973,0.1,292,6,1926,3510,0.0,292
205517000,117.758,38.973,0.1,292,6,1956,3570,0.0,292
205517000,117.758,38.973,0.1,292,6,1986,3630,0.0,292
205517000,117.758,38.973,0.1,292,6,2016,3690,0.0,292
205517000,117.758,38.973,0.1,292,6,2046,3750,0.0,292
205517000,117.758,38.973,0.1,292,6,2076,3810,0.0,292
205517000,117.758,38.973,0.1,292,6,2106,3870,0.0,292
205517000,117.758,38.973,0.1,292,6,2136,3930,0.0,292
205517000,117.758,38.973,0.1,292,6,2166,3990,0.0,292
205517000,117.758,38.973,0.1,292,6,2196,4050,0.0,292
205517000,117.758,38.973,0.1,292,6,2226,4110,0.0,292
205517000,117.758,38.973,0.1,292,6,2256,4170,0.0,292
205517000,117.758,38.973,0.1,292,6,2286,4230,0.0,292
205517000,117.758,38.973,0.1,292,6,2316,4290,0.0,292
205517000,117.758,38.973,0.1,292,6,2346,4350,0.0,292
205517000,117.758,38.973,0.1,292,6,2376,4410,0.0,292
205517000,117.758,38.973,0.1,292,6,2406,4470,0.0,292
205517000,117.758,38.973,0.1,292,6,2436,4530,0.0,292
205517000,117.758,38.973,0.1,292,6,2466,4590,0.0,292
205517000,117.758,38.973,0.1,292,6,2496,4650,0.0,292
205517000,117.758,38.973,0.1,292,6,2526,4710,0.0,292
205517000,117.758,38.973,0.1,292,6,2556,4770,0.0,292
205517000,117.758,38.973,0.1,292,6,2586,4830,0.0,292
205517000,117.758,38.973,0.1,292,6,2616,4890,0.0,292
205517000,117.758,38.973,0.1,292,6,2646,4950,0.0,292
205517000,117.758,38.973,0.1,292,6,2676,5010,0.0,292
205517000,117.758,38.973,0.1,292,6,2706,5070,0.0,292
205517000,117.758,38.973,0.1,292,6,2736,5130,0.0,292
205517000,117.758,38.973,0.1,292,6,2766,5190,0.0,292
205517000,117.758,38.973,0.1,292,6,2796,5250,0.0,292
205517000,117.758,38.973,0.1,292,6,2826,5310,0.0,292
205517000,117.758,38.973,0.1,292,6,2856,5370,0.0,292
205517000,117.758,38.973,0.1,292,6,2886,5430,0.0,292
205517000,117.758,38.973,0.1,292,6,2916,5490,0.0,292
205517000,117.758,38.973,0.1,292,6,2946,5550,0.0,292
205517000,117.758,38.973,0.1,292,6,2976,5610,0.0,292
205517000,117.758,38.973,0.1,292,6,3006,5670,0.0,292
205517000,117.758,38.973,0.1,292,6,3036,5730,0.0,292
205517000,117.758,38.973,0.1,292,6,3066,5790,0.0,292
