Record_Datetime,MMSI,Longitude,Latitude,Heading,Speed
2016-09-08 04:13:26,412287425,117.881,38.793,64,2.9
2016-09-08 04:16:02,412287425,117.884,38.794000000000004,65,2.9
2016-09-09 04:15:57,412287425,117.90799999999999,38.798,275,2.6
2016-09-11 00:15:18,412287425,117.678,38.801,354,2.7
2016-09-11 02:09:06,412287425,117.676,38.797,100,2.4
2016-09-11 03:08:15,412287425,117.68799999999999,38.801,235,2.7
2016-09-11 03:16:18,412287425,117.681,38.798,249,2.7
2016-09-11 03:22:51,412287425,117.675,38.797,250,2.7
2016-09-12 22:33:10,412287425,117.848,38.794000000000004,42,2.4
2016-09-12 23:06:48,412287425,117.868,38.811,40,2.4
2016-09-13 02:20:10,412287425,117.89299999999999,38.818000000000005,28,2.4
2016-09-14 21:51:22,412287425,117.837,38.82,183,2.0
2016-09-21 03:53:02,412287425,117.698,38.801,268,2.7
2016-09-21 23:55:15,412287425,117.677,38.796,36,3.1
2016-09-22 00:07:49,412287425,117.689,38.801,88,3.1
2016-09-22 00:18:42,412287425,117.69200000000001,38.795,212,2.6
2016-09-22 01:59:02,412287425,117.68700000000001,38.799,78,3.1
2016-09-22 02:05:07,412287425,117.694,38.8,77,2.9
2016-09-22 02:29:16,412287425,117.71799999999999,38.808,60,2.9
2016-09-22 02:39:19,412287425,117.725,38.813,338,2.6
2016-09-22 02:44:46,412287425,117.721,38.814,268,2.4
