Record_Datetime,MMSI,Longitude,Latitude,Heading,Speed
2016-09-08 19:59:27,412079000,118.169,38.903,305,12.0
2016-09-08 20:04:26,412079000,118.154,38.911,306,8.1
2016-09-08 20:08:47,412079000,118.145,38.916,310,6.0
2016-09-08 20:10:47,412079000,118.14200000000001,38.918,310,6.3
2016-09-08 20:13:07,412079000,118.13799999999999,38.921,315,6.7
2016-09-08 20:20:26,412079000,118.126,38.93,325,6.7
2016-09-08 20:20:37,412079000,118.12700000000001,38.929,325,6.5
2016-09-08 20:33:25,412079000,118.10799999999999,38.949,325,5.1
2016-09-08 20:34:46,412079000,118.10600000000001,38.951,325,5.2
2016-09-08 20:48:36,412079000,118.096,38.968,53,4.1
2016-09-08 20:50:06,412079000,118.09700000000001,38.97,81,3.3
2016-09-08 20:50:20,412079000,118.09700000000001,38.97,84,3.1
2016-09-08 20:51:43,412079000,118.098,38.97,111,2.7
2016-09-08 20:56:07,412079000,118.101,38.969,141,2.0
2016-09-08 21:09:44,412079000,118.1,38.97,147,0.3
2016-09-08 23:24:42,412079000,118.101,38.97,167,0.1
2016-09-08 23:54:44,412079000,118.103,38.97,215,0.1
2016-09-09 03:45:45,412079000,118.104,38.969,258,0.1
2016-09-09 04:54:46,412079000,118.104,38.97,253,0.1
2016-09-09 05:51:44,412079000,118.103,38.97,230,0.1
2016-09-09 06:45:45,412079000,118.101,38.971,175,0.1
2016-09-09 11:12:44,412079000,118.102,38.97,200,0.1
2016-09-09 12:54:46,412079000,118.104,38.969,266,0.2
2016-09-09 13:18:44,412079000,118.104,38.968,299,0.1
2016-09-09 13:30:43,412079000,118.104,38.968,301,0.1
2016-09-09 13:36:43,412079000,118.103,38.968,304,0.1
2016-09-09 13:54:45,412079000,118.103,38.968,304,0.1
2016-09-09 14:12:45,412079000,118.103,38.968,307,0.1
2016-09-09 15:12:44,412079000,118.103,38.968,317,0.1
2016-09-09 19:39:43,412079000,118.1,38.968,71,0.1
2016-09-09 20:40:46,412079000,118.1,38.969,104,0.1
2016-09-09 21:18:44,412079000,118.1,38.969,111,0.1
2016-09-09 22:30:45,412079000,118.1,38.969,108,0.1
2016-09-09 23:36:44,412079000,118.1,38.968,76,0.1
2016-09-10 00:27:43,412079000,118.1,38.968,65,0.2
2016-09-10 02:21:43,412079000,118.101,38.967,13,0.1
2016-09-10 02:54:43,412079000,118.102,38.967,0,0.1
2016-09-10 05:09:35,412079000,118.101,38.967,21,1.2
2016-09-10 05:30:09,412079000,118.101,38.967,26,0.1
