Record_Datetime,MMSI,Longitude,Latitude,Heading,Speed
2016-09-29 16:49:42,671750000,118.154,38.922,280,10.1
2016-09-29 16:58:23,671750000,118.124,38.943000000000005,285,10.8
2016-09-29 17:04:25,671750000,118.10600000000001,38.953,241,9.8
2016-09-29 17:07:46,671750000,118.094,38.955,248,10.3
2016-09-29 17:09:41,671750000,118.087,38.957,253,10.7
2016-09-29 17:14:44,671750000,118.07,38.958,228,10.1
2016-09-29 17:15:21,671750000,118.066,38.958,227,10.3
2016-09-29 17:21:46,671750000,118.04899999999999,38.959,257,6.5
2016-09-29 17:37:30,671750000,118.042,38.964,191,0.2
2016-09-29 17:39:31,671750000,118.042,38.964,141,1.1
2016-09-29 17:59:34,671750000,118.031,38.972,300,0.9
2016-09-29 18:00:53,671750000,118.03200000000001,38.972,272,0.6
2016-09-29 20:36:08,671750000,118.03200000000001,38.973,223,0.2
2016-09-29 21:44:52,671750000,118.03200000000001,38.972,245,0.2
2016-09-30 11:05:34,671750000,118.03200000000001,38.973,213,0.2
2016-09-30 11:35:10,671750000,118.03200000000001,38.973,211,0.2
2016-09-30 13:47:50,671750000,118.031,38.973,175,0.6
2016-09-30 13:49:07,671750000,118.031,38.973,157,0.4
2016-09-30 13:56:36,671750000,118.031,38.973,168,0.4
2016-09-30 14:15:20,671750000,118.031,38.973,139,0.4
2016-09-30 14:15:16,671750000,118.031,38.973,139,0.5
2016-09-30 15:14:36,671750000,118.031,38.973,125,0.1
2016-09-30 15:32:37,671750000,118.031,38.973,135,0.1
2016-09-30 15:37:41,671750000,118.031,38.973,136,0.2
