Record_Datetime,MMSI,Longitude,Latitude,Heading,Speed
2016-09-08 12:39:14,416459000,118.171,38.903,303,9.0
2016-09-08 12:40:19,416459000,118.169,38.905,303,8.7
2016-09-08 12:40:30,416459000,118.16799999999999,38.905,303,8.7
2016-09-08 12:41:14,416459000,118.166,38.906,303,8.5
2016-09-08 12:43:46,416459000,118.16,38.91,303,8.0
2016-09-08 12:43:52,416459000,118.16,38.91,303,8.0
2016-09-08 12:44:20,416459000,118.15899999999999,38.91,303,7.8
2016-09-08 12:45:07,416459000,118.15700000000001,38.911,304,7.7
2016-09-08 12:45:14,416459000,118.15700000000001,38.911,304,7.6
2016-09-08 12:48:11,416459000,118.15100000000001,38.915,298,6.3
2016-09-08 12:48:47,416459000,118.149,38.915,297,6.1
2016-09-08 12:48:52,416459000,118.149,38.915,297,6.0
2016-09-08 12:52:00,416459000,118.14399999999999,38.918,295,5.4
2016-09-08 12:52:06,416459000,118.14299999999999,38.918,295,5.4
2016-09-08 12:57:07,416459000,118.135,38.921,295,4.7
2016-09-08 13:00:57,416459000,118.13,38.923,295,4.5
2016-09-08 13:04:47,416459000,118.124,38.925,290,4.4
2016-09-08 13:05:31,416459000,118.12299999999999,38.925,290,4.4
2016-09-08 13:06:26,416459000,118.12200000000001,38.925,290,4.2
2016-09-08 13:06:37,416459000,118.12200000000001,38.926,290,4.2
2016-09-08 13:09:26,416459000,118.117,38.927,295,4.2
2016-09-08 13:09:34,416459000,118.117,38.927,295,4.2
2016-09-08 13:16:38,416459000,118.109,38.929,280,3.1
2016-09-08 13:22:05,416459000,118.105,38.931,302,2.0
2016-09-08 13:22:10,416459000,118.105,38.931,302,2.0
2016-09-08 13:21:57,416459000,118.105,38.931,303,2.0
2016-09-08 13:29:03,416459000,118.103,38.931999999999995,294,1.3
2016-09-08 13:29:46,416459000,118.103,38.931999999999995,283,2.0
2016-09-08 13:31:27,416459000,118.102,38.931999999999995,275,2.0
2016-09-08 13:31:26,416459000,118.102,38.931999999999995,275,2.1
2016-09-08 13:31:46,416459000,118.102,38.931999999999995,275,2.2
2016-09-08 13:33:49,416459000,118.1,38.931999999999995,275,2.7
2016-09-08 13:34:22,416459000,118.09899999999999,38.931999999999995,275,2.9
2016-09-08 13:37:28,416459000,118.094,38.931999999999995,275,6.9
2016-09-08 13:38:11,416459000,118.09200000000001,38.931999999999995,275,7.8
2016-09-08 13:39:28,416459000,118.089,38.931999999999995,275,8.7
2016-09-08 13:40:24,416459000,118.085,38.933,275,9.4
2016-09-08 13:40:44,416459000,118.084,38.933,275,9.6
2016-09-08 13:41:51,416459000,118.081,38.933,275,9.9
2016-09-08 13:44:46,416459000,118.07,38.933,271,10.8
2016-09-08 13:45:13,416459000,118.06700000000001,38.933,261,10.9
2016-09-08 13:45:20,416459000,118.06700000000001,38.933,261,10.8
2016-09-08 13:45:40,416459000,118.066,38.933,259,10.7
2016-09-08 13:47:07,416459000,118.06,38.931999999999995,259,11.1
2016-09-08 13:47:14,416459000,118.06,38.931999999999995,259,11.0
2016-09-08 13:48:59,416459000,118.052,38.931,278,11.5
2016-09-08 13:49:06,416459000,118.052,38.931,278,11.4
2016-09-08 13:49:13,416459000,118.051,38.931,282,11.3
2016-09-08 13:49:19,416459000,118.051,38.931,282,11.1
2016-09-08 13:49:27,416459000,118.051,38.931,282,11.1
2016-09-08 13:49:41,416459000,118.05,38.931,282,11.0
