Record_Datetime,MMSI,Longitude,Latitude,Heading,Speed
2016-09-30 02:51:55,413456320,118.065,38.943000000000005,292,6.3
2016-09-30 03:06:20,413456320,118.045,38.949,281,3.5
2016-09-30 03:44:40,413456320,117.97399999999999,38.953,274,6.7
2016-09-30 03:49:16,413456320,117.963,38.954,275,5.4
2016-09-30 03:51:18,413456320,117.96,38.954,274,5.4
2016-09-30 03:52:32,413456320,117.95700000000001,38.954,278,6.3
2016-09-30 04:04:36,413456320,117.92,38.954,289,10.3
2016-09-30 04:16:38,413456320,117.876,38.959,287,10.5
2016-09-30 04:21:56,413456320,117.85700000000001,38.961,291,9.9
2016-09-30 04:34:22,413456320,117.814,38.967,292,9.9
2016-09-30 04:37:18,413456320,117.804,38.969,291,9.6
2016-09-30 04:40:12,413456320,117.794,38.971,291,8.9
2016-09-30 04:45:20,413456320,117.781,38.973,287,6.7
2016-09-30 04:52:57,413456320,117.766,38.975,287,3.8
2016-09-30 04:53:24,413456320,117.765,38.975,288,4.0
2016-09-30 04:57:14,413456320,117.76100000000001,38.976,344,2.9
